product_name,review,rating
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","Pros
Front and back cameras
Display
Refresh rate
Design
Sound
UI
Special features

Cons
Little heating issue while charging offcourse it's a 125W
Wheather if it's 68 it could not happen
Battery normal one day usage

Awesome 9.5/10 in this price segment",5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","Superb Design
Trendy Look
Decent Display
Fast Charger
All these are good...

But Heating Issue makes it hard to Hold... Immediate bug fix needed...",3
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","Mobile is Good.
But , battery 🔋 optimisation is not good.
Because I am not a heavy user, I still charge my mobile minimum 3 times per day.
Maybe it' will be solved in the next update.",5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews",Great phone. Value for money,5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","Amazing product really loved using it ,cover quality is little bit poor but the overall product is amazing",5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews",Camera is good better than oneplus 12 overall awesome phone,5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews",Overall a decent product.needs to improve front camera,5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews",Nice,5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews",Over all 10/9,5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews",Every thing is good but if u want to use it rough and tough dont go for curved displays.,4
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","I m in love with this phone .. I know some heating issue and camera processing timings can be an issue for you , believe me if u compare the cons bs pro then you will surprise some problem and minor heating issue cannot define your phone battery is good and u can see my frnd image , including some night picture , I can suggest you this phone for all rounder management,, you can go for it when you will see the extra features in this then absolutely you will forget the minor issue and if some...
READ MORE",5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","Review after 10 days of use.
1 - Camera 10/10
2 - Display 10/10
3 - Battery 09/10
4 - Charging 10/10
5 - Performance 10/10

With respect to other reviews, no heating issue was observed during usage and charging. For office use, I am getting a minimum 28 hours of battery backup. 125W charger takes 30min to change from 10-100%. The camera quality is really superb. The display is also good. The only problem which is observed is - screen guard and mobile cover provided with mobile are very poor ...
READ MORE",5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews",Awesome Device. Will do one more review after 10 days of usage.,5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","Amazing phone 📱 nice camera pictures
Smooth running in hand
Worth it in this budget 👍",5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","I usually don't write reviews but this phone deserves every praise there is to offer. Phone usually charges within 20-30 mins. And gives a whole day worth of screen time. The curved display is fantastic to touch and watch. Brightness is too good (I use it at 60%) and it's still too bright.
The processor is pretty good for gaming and daily usage. UI is pretty good and easy to use. Camera is awesome and preforms better than expectations. Especially the AI zoom... People were surprised when they...
READ MORE",5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","the phone is quite amazing with IP68 , USB type C gen 3.1 though it comes with ufs 2.2 but it is well optimized for day to day use, Battery backup is also good but need some time to observe the usage pattern , kudos to the camera",5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews",Amazing phone in budget price.,5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","Amazing work by the entire Motorola team, experiencing an amazing device like this after a long time....",5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","Display ✅
Camera ✅
Performance ✅
Charge ✅
Battery ❌",4
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","When you charge your mobile, mobile heating.. other wise mobileis best..",4
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","I clicked a picture, it said it's processing but didn't show in my gallery and it vanished. The phone heats up in Vivid display mode.",4
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews",Phone very heat..,4
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","Amazing moto, first time using moto.",5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","Excellent phone for this price range.

The camera is very good, and the OLED screen is just amazing. Charge goes from 5% to 80% in less than 15 minutes. The performance is on par for the segment, and there is absolutely no lag for day to day standard usage. The phone does get warm during some operations, but it is well within the limit.

The only negative is that the curved edge sometimes results in touch related issues. It happens only in some conditions of holding the phone in some specifi...
READ MORE",5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews",Good performance and very nice phone in Motorola ❤️,5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews",Keuuu keka altimate performance battery is too good,5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews",Motorola edge 50 pro is the best smartphone for mid range user. Go fot it without hesitation.,5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","It has best camera setup. The 10mp telephoto is the same used in galaxy s24 and it takes impressive portraits.
The battery backup is quite decent.
UI is also very smooth but has no gallery app and file manager app.",5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews",Over all good,3
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","Mind Blowing product.,. Such a terrific quality 💯 camera quality is awesome 😎",5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews",Nice phone,5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews",Charging is super fast and charge finish superfast too 🤣,5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","Absolutely Premium/flagship phone. i have used iphones from last 4 years and recently used S24 and nothing phone 2 for months as primary device. Edge 50 pro feel beautiful choice it is not as premium as iphone or s24 but you won't regret if you bought this.

Extremely beautiful display, i think it is as beautiful as s24 and iphones display. 10/10 for this extremely good display i can't believe i bought this for 30k. i feel same beauty as iPhones. believe me, display will not disappoint you ev...
READ MORE",5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","Camera quality is amazing 😍
Battery 🔋 is good 👍
Display very good
Design is nice
Performance is very very good 😊",5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews",There is only one problem it has a UFS 2.2 storage type at this price range. It is a flagship phone atleast UFS 3.0 needed. But overall a good deal.,5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","Every phone has its own pros and cons..
Smart connect feature is life saver...I loved it. For pc users it's a must have feature.
By the way phone is gorgeous 😍 and display is too good
Heating issue while charging as everyone is complaining about is normal. It's not that much issue .",5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews",I am in love with this mobile. This is a beast in performance. Battery backup is very good and fast charging just never lets me down. The display of the mobile is also very good. Anyone planning to buy will not regret the product,5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","Best camera, overall design nice like it, 😁",5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","Really the best in this segment , Go for it !!!

Camera is too good 👍

Could have increased the batter capacity . Rest all fine",5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","Camera - 5/5
Performance - 5/5
Battery - 4/5
Design - 5/5
Slimest Phone
Charging Speed is very Fast (125W)
Overall Great Experience",5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","After one day use-
Camera pixel quality is good,
Battery is avg,pls give updates on battery problems.
Display is fantastic.
Performance also excellent
Top notch performance don't compromise by seeing ufs 2.2 compared to 3.1 it's better, cam is excellent
My overall experience is superb thank u moto ❤🔥",5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews",Very good camera phone,5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","Cameras can be a lot better.
The battery is good and so is the charging, lasts a day easily after above moderate usage.
The display and sound are just awesome.",4
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","I am purchased this mobile on 14 may and received on 16 may. phone is good value for money . Camera awesome, battery 5000 mah is quite good for daily use but 4500 mah ok , charging time 40 minute plus 0 to 100 percent with 125 watt charger but over all phone good.",4
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","Hallo moto
Nice product moto
Amazing product
World No1 phone
Camera....D.S.L.R🥰😍",4
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","Battery:
I wake up in the morning charge my phone and come to the office, watch a movie on the train, use the office Wi-Fi all day, the phone is used enough, on the way home to watch a movie, come back home and use the Wi-Fi, my mobile data usage is very low. About 2-3 hours all day, but when I wake up the next day, the phone has above 40 percent charge, tell me if it's a good battery or a bad battery.
Camera:
I have been using S21FE5G mobile for 2 years so my Samsung was best except for por...
READ MORE",5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews",Good... Value for money,5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews",Best in budget mobile. Camera and battery can be better. Display is bright and smooth,5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews",Mobile is a good but network signal problem heavily talking to another person and receiving calls,3
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","Used for 1 week so far so good ,,, battery life is 1 day , but with 120 charger it charges within 20 mins . I am facing one issue in video players, when we fast forward the video d video gets stuck n freezes for moment . Again we should re start the video, this is bug from moto , to be corrected . Next is the curved display , u cant use temper ,,",3
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews",This product is very nice but front camera no clarity totally very good performance,3
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","Reviewing after 6days of using Moto Edge 50pro (125W, 12gb RAM variant)

Display - 10/10

Battery - 9/10

Camera - 9/10

Charging - 9/10

Light weight, premiumness, flagship features

Charging speed (125W):

0-50% in 11min

0-80% in 17mins

0-100% in 21mins.

This phone is very good as per the specs provided. You can go for it. I hope heating issues will be",5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","Great camara quality. Fast charging. Smooth performance.

Just one problem getting hot on daily use and during charging",5
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","Introduction

While the Motorola Edge 50 Pro's 125W charger offers impressive fast charging capabilities, it's important to address the battery life concerns that users have reported. Despite the powerful charger, some users have found that the battery doesn't last as long as expected, especially under heavy usage.

Battery Life Limitations

High-Refresh-Rate Display: The Edge 50 Pro's high-refresh-rate display, while visually stunning, can contribute to increased power consumption, leading t...
READ MORE",4
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","My Review...

1 - I compared the camera of Motorola Edge 50 Pro with the recently launched mobiles like Vivo T3 Pro and Mi Redmi Note 13 Pro. The camera of Motorola Edge 50 Pro is much better than both the mobiles, it is fantastic and amazing, I am very satisfied.

2 ) The battery backup is very good. The mobile gets fully charged in 20 to 25 minutes and gives a backup of 30 to 32 hours. There is no heating issue in the mobile.

3 ) The look of the mobile is premium. I am very impressed with ...
READ MORE",4
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews",I like it,4
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","The phone is good but it's not that great compared to what motorola claims... The camera is ok.. sometimes it gives darker pics compared to normal. Videos are good sometimes it adds color which is not natural. Also the battery is not good you have to carry a charger with you. Thought charging is fast. Also while charging the phone heats a lot even if you're not using it while charging. Overall it is a good phone but the price range is high compared to other phones compared to the performance....
READ MORE",4
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB) Reviews","It's a nice product.
The camera is good. Bit sometimes lag. Performance is good.
Battery backup is not so good initially as high usage. Later when it becomes normal usage almost 1 day back up.
Charging is super fast within 25-30 mins with a
125w ch
arger. The charger is a big one, you need to buy an adapter, else it touches the switches.

User interface, need to adjust I was an apple user.

Curved display is a great experience.
Flipkart experience is somewhat bad. Due to delay in de...
READ MORE",4
